Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2022-01-01,00:00:00,Suape,PE06,NO2,0.69,ug/m3,Automática
2022-01-01,05:00:00,Suape,PE06,NO2,0.72,ug/m3,Automática
2022-01-01,03:00:00,Suape,PE06,NO2,0.86,ug/m3,Automática
2022-01-01,06:00:00,Suape,PE06,NO2,0.93,ug/m3,Automática
2022-01-01,17:00:00,Suape,PE06,NO2,1.05,ug/m3,Automática
2022-01-01,20:00:00,Suape,PE06,NO2,1.06,ug/m3,Automática
2022-01-01,18:00:00,Suape,PE06,NO2,1.22,ug/m3,Automática
2022-01-01,23:00:00,Suape,PE06,NO2,1.22,ug/m3,Automática
2022-01-01,02:00:00,Suape,PE06,NO2,1.23,ug/m3,Automática
2022-01-01,22:00:00,Suape,PE06,NO2,1.59,ug/m3,Automática
2022-01-01,21:00:00,Suape,PE06,NO2,1.81,ug/m3,Automática
2022-01-01,19:00:00,Suape,PE06,NO2,1.85,ug/m3,Automática
2022-01-01,12:00:00,Suape,PE06,SO2,0.2,ug/m3,Automática
2022-01-01,15:00:00,Suape,PE06,SO2,2.05,ug/m3,Automática
2022-01-01,13:00:00,Suape,PE06,SO2,2.29,ug/m3,Automática
2022-01-01,14:00:00,Suape,PE06,SO2,2.94,ug/m3,Automática
2022-01-01,03:00:00,Suape,PE06,SO2,5.6,ug/m3,Automática
2022-01-02,13:00:00,Suape,PE06,CO,0.4,ug/m3,Automática
2022-01-02,14:00:00,Suape,PE06,CO,0.4,ug/m3,Automática
2022-01-02,15:00:00,Suape,PE06,CO,0.4,ug/m3,Automática
2022-01-02,16:00:00,Suape,PE06,CO,0.4,ug/m3,Automática
2022-01-02,17:00:00,Suape,PE06,CO,0.4,ug/m3,Automática
2022-01-02,01:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,02:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,05:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,06:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,07:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,08:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,09:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,10:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,11:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,12:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,18:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,19:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,20:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,21:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,22:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,23:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,00:00:00,Suape,PE06,CO,0.5,ug/m3,Automática
2022-01-02,03:00:00,Suape,PE06,MP2.5,2.0,ug/m3,Automática
2022-01-02,02:00:00,Suape,PE06,MP2.5,4.0,ug/m3,Automática
2022-01-02,04:00:00,Suape,PE06,MP2.5,5.0,ug/m3,Automática
2022-01-02,01:00:00,Suape,PE06,MP2.5,10.0,ug/m3,Automática
2022-01-02,06:00:00,Suape,PE06,MP2.5,10.0,ug/m3,Automática
2022-01-02,07:00:00,Suape,PE06,MP2.5,10.0,ug/m3,Automática
2022-01-02,08:00:00,Suape,PE06,MP2.5,11.0,ug/m3,Automática
2022-01-02,09:00:00,Suape,PE06,MP2.5,12.0,ug/m3,Automática
2022-01-02,05:00:00,Suape,PE06,MP2.5,14.0,ug/m3,Automática
2022-01-02,08:00:00,Suape,PE06,NO2,1.8,ug/m3,Automática
2022-01-02,14:00:00,Suape,PE06,NO2,2.4,ug/m3,Automática
2022-01-02,10:00:00,Suape,PE06,NO2,3.0,ug/m3,Automática
2022-01-02,15:00:00,Suape,PE06,NO2,3.4,ug/m3,Automática
2022-01-02,16:00:00,Suape,PE06,NO2,3.4,ug/m3,Automática
2022-01-02,11:00:00,Suape,PE06,NO2,3.7,ug/m3,Automática
2022-01-02,12:00:00,Suape,PE06,NO2,4.0,ug/m3,Automática
2022-01-02,17:00:00,Suape,PE06,NO2,4.0,ug/m3,Automática
2022-01-02,18:00:00,Suape,PE06,NO2,4.0,ug/m3,Automática
2022-01-02,07:00:00,Suape,PE06,NO2,4.3,ug/m3,Automática
2022-01-02,03:00:00,Suape,PE06,NO2,4.5,ug/m3,Automática
2022-01-02,13:00:00,Suape,PE06,NO2,4.59,ug/m3,Automática
2022-01-02,04:00:00,Suape,PE06,NO2,4.8,ug/m3,Automática
2022-01-02,00:00:00,Suape,PE06,NO2,4.8,ug/m3,Automática
2022-01-02,23:00:00,Suape,PE06,NO2,5.6,ug/m3,Automática
2022-01-02,05:00:00,Suape,PE06,NO2,5.7,ug/m3,Automática
2022-01-02,06:00:00,Suape,PE06,NO2,6.4,ug/m3,Automática
2022-01-02,20:00:00,Suape,PE06,NO2,7.2,ug/m3,Automática
2022-01-02,22:00:00,Suape,PE06,NO2,8.19,ug/m3,Automática
2022-01-02,21:00:00,Suape,PE06,NO2,10.6,ug/m3,Automática
2022-01-02,19:00:00,Suape,PE06,NO2,10.8,ug/m3,Automática
2022-01-02,18:00:00,Suape,PE06,SO2,3.6,ug/m3,Automática
2022-01-02,08:00:00,Suape,PE06,SO2,4.09,ug/m3,Automática
2022-01-02,09:00:00,Suape,PE06,SO2,4.3,ug/m3,Automática
2022-01-02,07:00:00,Suape,PE06,SO2,4.8,ug/m3,Automática
2022-01-02,10:00:00,Suape,PE06,SO2,4.8,ug/m3,Automática
2022-01-02,06:00:00,Suape,PE06,SO2,4.9,ug/m3,Automática
2022-01-02,20:00:00,Suape,PE06,SO2,5.09,ug/m3,Automática
2022-01-02,05:00:00,Suape,PE06,SO2,5.2,ug/m3,Automática
2022-01-02,22:00:00,Suape,PE06,SO2,5.2,ug/m3,Automática
2022-01-02,19:00:00,Suape,PE06,SO2,5.4,ug/m3,Automática
2022-01-02,21:00:00,Suape,PE06,SO2,5.5,ug/m3,Automática
2022-01-02,02:00:00,Suape,PE06,SO2,5.6,ug/m3,Automática
2022-01-02,23:00:00,Suape,PE06,SO2,5.7,ug/m3,Automática
2022-01-02,00:00:00,Suape,PE06,SO2,5.8,ug/m3,Automática
2022-01-02,01:00:00,Suape,PE06,SO2,6.0,ug/m3,Automática
2022-01-02,11:00:00,Suape,PE06,SO2,7.7,ug/m3,Automática
2022-01-02,13:00:00,Suape,PE06,SO2,8.0,ug/m3,Automática
2022-01-02,14:00:00,Suape,PE06,SO2,8.3,ug/m3,Automática
2022-01-02,12:00:00,Suape,PE06,SO2,8.5,ug/m3,Automática
2022-01-02,17:00:00,Suape,PE06,SO2,9.3,ug/m3,Automática
